CELLNAME	DRUG	AUC
7860	10023	0.9977
7860	100880	0.4367
7860	100880	0.5381
7860	100880	0.4122
7860	100880	0.5956
7860	102816	0.7793
7860	102816	0.8263
7860	102816	0.852
7860	102816	0.8449
7860	102816	0.8523
7860	102816	0.8352
7860	102816	0.7411
7860	102816	0.8066
7860	102816	0.7017
7860	102816	0.7866
7860	102816	0.8196
7860	103805	0.9937
7860	105014	0.8903
7860	105014	0.8420000000000001
7860	105823	0.9927
7860	109500	0.9740000000000001
7860	109500	0.9845
7860	109500	0.9768
7860	109724	0.9918
7860	109724	0.9694
7860	109724	1.0
7860	109724	1.0
7860	109724	1.0
7860	109724	0.9869
7860	109724	0.9283
7860	109724	0.9958
7860	109724	0.9983
7860	109724	0.9961
7860	109724	1.0
7860	109724	0.9690000000000001
7860	109724	0.9808
7860	109724	0.9895
7860	109724	0.9914
7860	109724	0.9969
7860	10973	0.9751
7860	109929	0.9828
7860	111180	1.0
7860	111180	0.9962
7860	113891	1.0
7860	113926	0.9690000000000001
7860	117186	0.9903
7860	117186	0.9899
7860	119875	0.9193
7860	119875	0.8749
7860	119875	0.8676
7860	119875	0.9003
7860	119875	0.9687
7860	119875	0.98
7860	119875	0.8391
7860	119875	0.7845
7860	119875	0.8507
7860	119875	0.8817
7860	119875	0.8612
7860	119875	0.8938
7860	119875	0.8591
7860	119875	0.8714
7860	119875	0.8626
7860	119875	0.8566
7860	119875	0.8608
7860	119875	0.862
7860	119875	0.7685
7860	119875	0.7806
7860	119875	0.7929999999999999
7860	119875	0.8039
7860	119875	0.8772
7860	119875	0.8497
7860	119875	0.8713
7860	119875	0.8806
7860	119875	0.8336
7860	119875	0.925
7860	119875	0.8548
7860	119875	0.7644
7860	119875	0.8566
7860	119875	0.8709
7860	119875	0.7381
7860	119875	0.6684
7860	119875	0.6855
7860	119875	0.6828
7860	119875	0.7318
7860	119875	0.6725
7860	119875	0.746
7860	119875	0.6635
7860	119875	0.8529
7860	119875	0.8478
7860	119875	0.8634
7860	119875	0.8494
7860	119875	0.777
7860	119875	0.8514
7860	119875	0.8432
7860	119875	0.8229
7860	119875	0.8239
7860	119875	0.6565
7860	119875	0.738
7860	119875	0.6681
7860	119875	0.7976
7860	119875	0.8687
7860	119875	0.7667
7860	119875	0.8396
7860	119875	0.8224
7860	119875	0.8725
7860	119875	0.8752
7860	119875	0.8433
7860	119875	0.8362
7860	119875	0.8689
7860	119875	0.862
7860	119875	0.7361
7860	119875	0.8616
7860	119875	0.845
7860	119875	0.9161
7860	119875	0.8406
7860	119875	0.4586
7860	119875	0.8537
7860	119875	0.8272
7860	119875	0.8477
7860	119875	0.767
7860	119875	0.8006
7860	119875	0.7475
7860	119875	0.6489
7860	119875	0.8540000000000001
7860	119875	0.7409
7860	119875	0.7013
7860	119875	0.7458
7860	119875	0.8649
7860	119875	0.8533
7860	119875	0.8753
7860	119875	0.8609
7860	119875	0.8521
7860	119875	0.8459
7860	119875	0.6394
7860	119875	0.8413
7860	119875	0.8348
7860	119875	0.8546
7860	119875	0.8543
7860	119875	0.9063
7860	119875	0.8638
7860	119875	0.8919
7860	119875	0.8323
7860	119875	0.8361
7860	119875	0.907
7860	119875	0.9067
7860	119875	0.8238
7860	119875	0.8788
7860	119875	0.8098
7860	119875	0.8567
7860	12198	0.9902
7860	12198	0.9895
7860	122758	0.9873
7860	122758	0.9993
7860	122758	0.9993
7860	122758	0.9357
7860	122758	0.9271
7860	122819	0.8064
7860	122819	0.6433
7860	122819	0.6632
7860	122819	0.6619
7860	124463	0.9605
7860	124463	0.9627
7860	125066	0.8246
7860	125066	0.857
7860	125066	0.8784
7860	125066	0.852
7860	125066	0.8365
7860	125066	0.5856
7860	125066	0.7668
7860	125066	0.8371
7860	125066	0.8184
7860	125066	0.8541
7860	125066	0.7756
7860	125066	0.8631
7860	125066	0.8229
7860	125066	0.7559999999999999
7860	125066	0.7434
7860	125066	0.8336
7860	125066	0.7532
7860	125066	0.8457
7860	125066	0.8237
7860	125066	0.828
7860	125066	0.8099
7860	125066	0.7703
7860	125066	0.8248
7860	125066	0.8438
7860	125066	0.7889
7860	125066	0.8083
7860	125066	0.836
7860	125066	0.7963
7860	125066	0.8367
7860	125066	0.8063
7860	125066	0.7693
7860	125066	0.7491
7860	125066	0.7813
7860	125066	0.8262
7860	125066	0.8343
7860	125066	0.7895
7860	125066	0.8061
7860	125066	0.8016
7860	125066	0.7977
7860	125066	0.8889
7860	125066	0.8169
7860	125066	0.8134
7860	125066	0.8159
7860	125066	0.8245
7860	125066	0.8094
7860	125066	0.7992
7860	125066	0.8349
7860	125066	0.8285
7860	125066	0.7793
7860	125066	0.7877
7860	125066	0.7395
7860	125066	0.8002
7860	125066	0.7962
7860	125066	0.685
7860	125066	0.6868
7860	125066	0.7335
7860	125066	0.8195
7860	125066	0.7715
7860	125066	0.8583
7860	125066	0.8171
7860	125066	0.7782
7860	125066	0.8167
7860	125066	0.8103
7860	125066	0.7925
7860	125066	0.8098
7860	125066	0.8205
7860	125066	0.9563
7860	125066	0.7827
7860	125066	0.8266
7860	125066	0.8241
7860	125066	0.8198
7860	125066	0.8457
7860	125066	0.7894
7860	125066	0.7857
